Abbreviation,Meaning
NIM ,Nuclear Instrumentation Module
NIR ,Nuclear Instrument Recorder
NIS  ,Nuclear Instrumentation System
NIT ,Non-intrusive Testing
NLO ,Nonlicensed Operator
NMAC ,Nuclear Maintenance Application Center
NMC ,Nuclear Management Company
NML ,Nuclear Mutual Limited
NNSR ,Non-Nuclear Safety Related
No.  ,Number
NOED ,Notice of Enforcement Discretion
NOI ,Notice of Intent
NOP ,Normal Operating Pressure
NOT ,Normal Operating Temperature
NOV ,Notice of Violation
NPDES ,National Pollution Discharge Elimination Permit
NPIS ,Nuclear Plant Information System
NPM ,Nuclear Production Material
NPRDS ,Nuclear Plant Reliability Database System
NPSH ,Net Positive Suction Head
NR ,Narrow Range
NRC ,Nuclear Regulatory Commission
NRCS ,Natural Resources Conservation Service
NREC ,Nonresponding Emergency Communicators
NRHX ,Nonregenerative Heat Exchanger
NRR ,Nuclear Reactor Regulation
NS ,Non-safety
NSAFP,Non-Safety Aux Feedwater Pump
NSAL ,Nuclear Safety Advisory Letter
NSARB ,Nuclear Safety Audit & Review BoardN
NSE ,Nuclear Safety Engineering
NSO  ,Nuclear Station Operator
NSOT ,Nuclear Station Operator Trainee
NSRC ,Nuclear Safety Review Committee
NSSS  ,Nuclear Steam Supply System
NU ,Northeast Utilities
"NUE, NOUE ",Notification of Unusual Event
NUMARC ,Nuclear Management Action Response Committee
NUREG ,Nuclear Utility Regulation
NUSCO ,Northeast Utilities Service Co.
NWRC ,No Work Required (Cancel)
NWRO ,No Work Required (Non-Applicable OE)
O&M ,Operational and Maintenance
O&MR ,Operational and Maintenance Reminders
O&P  ,Operational & Programmatic
OA ,Office Assistant
OAC ,Operator Aid Computer
OAQ-3 Pass  ,"Overview, Assess and Qualify"
OB ,Operator Burden
OBE ,Operating Basis Earthquake
OCA ,Operator Communication Area
OCB ,Owner Controlled Boundary
OCC ,Outage Control Center
OCO ,Our Copies Only
OD ,Operability Determination
ODCM ,Offsite Dose Calculation Manual
ODMI ,Operational Decision Making Index
ODSCC ,Outside Diameter Stress Corrosion Cracking
ODV ,Ops Deficiency Validation
OE ,Operability Evaluation
OE ,Operating Experience
OEAC ,Operating Excellence Advisory Committee
OEE ,Operating Experience Evaluation
OEM ,Offsite Emergency Manager
OEM ,Original Equipment Manufacturer
OFCA ,Orbisphere Flow Chamber Assembly
OFN ,Off-Normal Operating Procedures
OH- ,Hydroxyl
OI ,Office of Investigations
OIR ,Operations Information Reports
OJE ,On-the-job Evaluation
OJT ,On-the-job Training
OL ,Operating License
OOC ,Out of Commission
OOS ,Out of Service
OP ,Operating Procedure
OP ,Overpower
OP ?T  ,Overpower Differential (?) Temperature
OPDC ,Operational & Programmatic Diagnostic Chart
OPH ,Ovation Process Historian
OPIC ,Operational & Programmatic Interface Chart
OPIC ,Organization and Program Interface Chart
OPRM ,Operation Power Range Monitor
OPS ,Offsite Power Systems
OPS ,Operations
ORE ,Occupational Radiation Exposures
ORNL ,Oak Ridge National Laboratory
ORO ,Offsite Response Organization
ORP ,Optimal Recovery Procedures
OS&Y ,Outside Screw & Yoke
OSHA ,Occupational Safety Health Administration
OT ,Overtemperature
OT ?T ,Overtemperature Differential (?) Temperature
OTSC ,On-the-spot Change
OW ,Oily Waste
OWA ,Operator Work Around
OWO ,Owner Work Order
OWS ,Operator Work Station
OWS-EDS ,Operator Work Station/Enterprise Data Server
P&ID ,Piping and Instrumentation Drawing
P&MS ,Purchasing and Material Services
P.T.; PT ,Pressure Transmitter
PA ,Public Address
PAB ,Protected Area Boundary
PADS ,Personal Access Data System
PAM  ,Post Accident Monitoring
PAMS ,Post Accident Monitoring System
PAR ,Protective Action Recommendation
PARC ,"Prioritize, Avoid, Relax, Control"
PASS ,Post Accident Sampling System
PAT ,Plant Access Training
PC ,Performance Criteria
PCB ,Polychlorinated biphenyl
PCI ,Pellet-Cladding Interaction
PCI ,Personnel Contamination Incident
PCIS ,Primary Containment Isolation Signals
PCM ,Personnel Contamination Monitor
PCP ,Parts Classification Program/Package
PCP ,Process Control Program
PCs ,Protective Clothing
PCT ,Peak Cladding Temperature
PCV ,Pressure Control Valve
PD ,Positive Displacement
PD ,Program Description
PD ,Program Design
PDA ,Primary Disconnect Assembly
PDC ,"Prevention, Detection, Correction"
PDCR ,Plant Design Change Request
PdM  ,Predictive Maintenance
PDMS ,Power Distribution Monitoring System
PDP ,Positive Displacement Charging Pump
PDR ,Problem Deficiency Report
PDR  ,Public Document Room (NRC)
PE ,Primary Effect
PE ,Professional Engineer
PEG ,Procurement Engineering Group
PEO ,Plant Equipment Operator
PEP ,Performance Enhancement Program
PESS…………………....,Personnel Entrance Search Station (Main Security)
PFCD ,Preliminary Fuel Cycle Design
PFRT ,Positive Flux Rate Trip
PFSS ,Post Fire Safe Shutdown
PHC ,Plant Health Committee
PHS ,Plant Heating System
PI ,Particulate Iodine
PI ,Performance Indicators
PI ,Program Implementation
"PI&A, PIA ",Performance Improvement & Assessment
PIC ,Pocket Ionization Chamber
PICT ,Position Specific Continuing Training
PID ,Proportional + Integral + Derivative
PIG ,Particulate- Iodine-Gaseous (Monitors)
PII ,Performance Improvement International
PIR ,Performance Improvement Request
PIR ,Plant Information Report
PIRT ,Potential Issues Response Team 
PJB ,Pre-job Brief
PLS ,"Precautions, Limitations, and Setpoints"
PM ,Preventative Maintenance
PMC ,Preventative Maintenance Change
PMCG ,Preventative Maintenance Coordinator Group
PMF ,Probable Maximum Flood
PMG ,Permanent Magnet Generator
PMMS ,Production Maintenance Management System
PMO ,Plant Maintenance Optimization
PMO ,Preventive Maintenance Optimization
PMP ,Probable Maximum Precipitation
PMP/pmp ,pump
PMR ,Plant Modification Request
fic,Performance Monitoring Trending
PMT ,Post Maintenance Testing
PMT  ,Post-Modification Testing
PMVD ,Plant Modification Vendor Documents
PNL ,Panel
PO ,Purchase Order
POC ,Performance Observation Card
POD ,Plan of the Day
PORC ,Plant Operation Review Committee
PORV ,Power Operated Relief Valve
POS ,Positive
PPE  ,Personal Protective Equipment
PPM ,Performance Prediction Methodology (EPRI)
PPT ,Plant Precipitator
PR ,Power Range
PRA ,Peak Recording Accelograph
PRA ,Probabilistic Risk Assessment
press ,pressure
pri ,primary
PRM ,Process Radiation Monitoring
PRT ,Pressurizer Relief Tank
PRV ,Pressure Regulator Valve
PSA ,Personal Safety Assessment
PSA ,Probabilistic Safety Assessment
PSA ,Product Service Agreement
PSAR ,Preliminary Safety Analysis Report
PSCS ,Plant Security Computer System
PSN ,Product Safety Notice
PSRC ,Plant Safety Review Committee
PSRST ,Primary Spent Resin Storage Tank
PSS ,Power Systems Stabilizer
PSS ,Process Sampling System
PT ,Liquid Penetrant Testing
PT ,Potential Transformer
PTL ,Pull-To-Lock
PTLR  ,Pressure and Temperature Limits Report
PTS ,Pressurized Thermal Shock
PTSCR ,Proposed Technical Specification Change Request
PTTC ,Pressure Tends to Close
PTTO ,Pressure Tends to Open
purif ,purification
PV ,Periodic Verification
PWO ,Parent Work Order
PWR  ,Pressurized Water Reactor
PWRII ,PWR II Systems
PWSCC ,Primary Water Stress Corrosion Cracking
PZR ,Pressurizer
QA ,Quality Assurance
QARR ,Quality Assurance Record Retrieval
QAS ,Quality and Assessment Services
QC ,Quality Control
QCV ,Quality Control Verification
QCW ,Quality Control Witness
QE ,Quality Evaluations
QOCD ,Quick Operating Controlling Device
QPCVM ,Quality Program Compliance Verification Matrix
QPM ,Quality Program Manual
QR ,Qualified Review
QV&V; QVV ,"Qualification, Validation & Verification"
RA ,Regulatory Affairs
RAD ,Radiation Absorbed Dose
RAD ,Regulatory Affairs Database
radcon ,radiological control
RAI  ,Request for Additional Information
RAW ,Risk Achievement Worth
RB ,Rules Based
RBCCW ,Reactor Building Closed Cooling Water
RBU  ,Rod Bank Update
RCA ,Radiological Control Area
RCA ,Remedial Corrective Action
RCA ,Rod Control Center
RCA ,Root Cause Analysis
RCCA ,Rod Cluster Control Assembly
RCDT ,Reactor Coolant Drain Tank
RCF ,Redundant Component Failure
RCIC ,Reactor Core Isolation Cooling
RCM ,Regulatory Compliance Manual
RCM ,Reliability-Centered Maintenance
RCMS ,Regulatory Commitment Management System
RCP ,Reactor Coolant Pump
RCPB ,Reactor Coolant Pressure Boundary
RCS ,Reactor Coolant System
RDIC ,Reload Design Initialization Checklist
RDMG ,Rod Drive Motor Generator
recirc ,Recirculation
REED ,Request to Exercise Enforcement Discretion
REF ,Reportability Evaluation Form
reg ,regulating
regen ,regenerative
REM ,Roentgen Equivalent Man
REMP ,Radiological Environmental Monitoring Program
RER  ,Reportability Evaluation Request
RER ,Reportable Event Request
RERP ,Radiological Emergency Response Plan
RETD ,Radiological Emergency Response Telephone Directory
RFI ,Radio Frequency Interference
RFT ,Request for Training
RG ,Regulatory Guide
RHR; RHRS ,Residual Heat Removal System
RHUT ,Recycle Holdup Tank
RI ,Risk-important
RIP ,Receipt Inspection Plan
RIR ,Receiving Inspection Reports
RIS ,Regulatory Issues Summary
RMCS ,Reactor Makeup Control System
RMCS ,Records Management Control System
RMPFF ,Repetitive Maintenance Preventable Functional Failure
RMS ,Radiation Monitoring System
RMS ,Root mean square
RMW ,Reactor Makeup Water
RMWCS ,Reactor Makeup Water Control System
RMWS ,Reactor Makeup Water System
RMWST ,Reactor Makeup Water Storage Tank
RN ,Receiving Notice
RNO ,Response Not Obtained
RO ,Reactor Operator
RO ,restricting orifice
RO ,reverse osmosis
ROP ,Reactor Oversight Process
ROPS  ,Roll Over Protection Safety
RP ,Radiation Protection
RPI ,Rod Position Indication
rpm ,revolutions per minute
RPS ,Reactor Protections System
RPV ,Reactor Pressure Vessel
RRIS ,Radioactive Release Information System
RRS  ,Required Response Spectrum
RRW ,Risk Reduction Worth
RSAC ,Reload Safety Analysis Checklist
RSDS ,Reset Display Terminal
RSE ,Reload Safety Evaluation
RSLLV ,Reheater Steam Low Load Valve
RSO ,Radiation Safety Officer
RSOP ,Recirculation Seal Oil Pump
RSS ,Recirculation Spray System
RSSHX ,Recirculation System Heat Exchanger
RSSV ,Reheater Steam Source Valve
rsvr ,reservoir
RT ,Radiographic Testing
RTB ,Reactor Trip Breaker
RTD ,Resistance Temperature Detector
RTD ,Resistance Thermal Detector
RTNDT  ,Reference Temperature Nil Ductility
RTS ,Reactor Trip System
RTT ,Response Time Testing
RTW ,Ready To Work
RVHVS ,Reactor Vessel Head Venting System
RVLIS ,Reactor Vessel Level Indication System
RW ,Radioactive Waste
RWAP ,Rod Withdrawal at Power
RWB ,Radwaste Building
RWG ,Responsible Work Group
RWO ,Responsible Work Organizations
RWP ,Radiation / Radiological Work Permit
RWSS ,Radwaste Sampling System
RWST ,Refueling Water Storage Tank
Rx ,Reactor
S ,South
S&L ,Sargent & Lundy
S.W.I.M.  ,"Stop, Warn, Isolate and Minimize"
"S/D, SD ",Shutdown
"S/G, SG ",Steam Generator
S/U ,Start Up
SACF ,Single Active Component Failure
SAE ,Site Area Emergency
SAF ,Secondary Access Facility
SALP ,Systematic Assessment Licensee Performance
SAM ,Schedule Adherence Module
SAM ,Small Article Monitor
SAMG ,Severe Accident Management Guidance
SAR ,Safety Analysis Report
SAS ,Safety Analysis Standard
SAS ,Secondary Alarm Station
SAT ,Software Acceptance Test
SAT ,Spray Additive Tank
SAT ,Systematic Approach To Training
SB ,Skills Based
SBO ,Station Blackout
SC ,Scaffold Coordinator
SC   ,Surveillance Coordinator
SCA ,Safety Classification Analysis
SCA ,Single-channel Analyzer
SCAQ ,Significant Condition Adverse to Quality
SCBA ,Self Contained Breathing Apparatus
SCC ,Stress Corrosion Cracking
SCDE ,"Shutdown Banks C, D and E"
SCEAS ,"Symptoms, Causes, Elimination, Analysis, Solution"
scfh ,standard cubic feet per hour
SCO ,Surface Contaminated Objects
SCR ,Setpoint Change Request
SCR ,Silicon-controlled Rectifier
SCSS ,Sequence Coding and Search System (NRC)
SCT ,Supply Chain Tracking
SCWE ,Safety Conscious Work Environment
SDA ,Steel De-Alloying
SDE ,Shallow-dose Equivalent
SDM  ,Shutdown Margin
SDP ,Significant Determination Process
SDR ,Shutdown Relay
SDR ,Supplier Deviation Request
SDS ,Satellite Display System
SDS ,Shutdown Solenoid
SE ,Safety Evaluation
SE ,Shift Engineer
SE ,System Engineer
SEA ,System Engineering - Auxiliary group
SEB ,System Engineering - Balance of Plant group
sec ,secondary
SEE ,System Engineering - Electrical group
SEEF ,Supervisor Expectation Evaluation Form
sel ,selector
SEL ,Self Assessment
SEN ,Significant Event Notification
SEN ,System Engineering - Nuclear Steam Supply System (NSSS) group
SEQS ,Seismic Equipment Qualification Summary
SER ,Safety Evaluation Report
SER ,Significant Experience Report
SEVR ,Static Exciter Voltage Regulator
SFDP ,Safety Function Determination Program
SFP ,Spent Fuel Pit/Pool
SFPC  ,Spent Fuel Pool Cooling
SFR ,Start Failure Relay
SFSF ,Spent Fuel Storage Facility
SFT ,Superintendent FIN Team
SGB ,Steam Generator Blowdown
SGBIS ,Steam Generator Blowdown Isolation System/Signal
SGBS ,Steam Generator Blowdown System
SGBSIS ,Steam Generator Blowdown Sample Isolation System/Signal
SGCS ,Safety Grade Cold Shutdown
SGFP ,Steam Generator Feedwater Pump
SGTR ,Steam Generator Tube Rupture
SGWLC ,Steam Generator Water Level Control
SI ,Safety Injection
SIH ,Safety Injection High Pressure
SIL ,Supplier Information List
SIP ,Safety Injection Pump
SIR ,Stock Issue Request
SIS ,Safety Injection Signal
SIT ,Structural Integrity Test
SJAE ,Steam Jet Air Ejectors
SL ,Safety Limit
SL ,Service Labor
SLC ,Standby Liquid Control
SLIS ,Steam Line Isolation Signal
SLM ,Steam Line Monitor
SLR ,Service Labor Requisition
SLW ,Secondary Liquid Waste
SLWS ,Secondary Liquid Waste System
SM ,Service Material
SM ,Shift Manager
SMA  ,Strong Motion Accelerometer
SMART ,System Monitoring and Reporting Tool
SME  ,Subject Matter Expert
SMI ,Storage and Maintenance Instructions
SMM  ,Sub-cooling Margin Monitor
SMPL ,Sample
SMQ ,Supervisor Supplier/Materials Quality
SNM ,Special Nuclear Material
SNUPPS ,Standardized Nuclear Unit Power Plant System
SO ,Supervising Operator
SOER ,Significant Operational Event Report
SOMS ,Shift Operations Management System
SONGS ,San Onofre Nuclear Generating Station
SOP ,Step-Off Pad
SOV ,Solenoid-operated Valve
SP ,Surveillance Procedure
SPA ,Safeguards Performance Assessment
SPCM ,Spare Parts Configuration Management
SPD ,SNUPPS Policy Document
SPDS ,Safety Parameter Display System
spec ,specification
SPF ,Stage Pressure Feedback
SPLY ,Supply
SPM ,Steps per minute
SPOE ,Single Point of Entry
SQA ,Software Quality Assurance
SQWP ,Seismic Qualification Work Package
SR ,Safety Related
SR ,Source Range
SR ,Surveillance Requirements
SRB ,sulfate-reducing bacteria
SRD ,Self-Reading Dosimeter
SRO  ,Senior Reactor Operator
SRO ,System Reverse Osmosis
SRP ,Standard Review Plan
SRP ,Strategic Review Plan
SRR ,Suggested Recorder Report
SRS   ,Solid Radwaste System
SRSS ,square root sum of the squares
SRST ,Spent Resin Storage Tank
SRT ,Screening Review Team
SRW ,Solid Radioactive Waste
SRW (form USAR)  ,Detergent Waste
SS ,Shift Supervisor
SS ,Special Scope
SSA  ,Surface Supplied Air
SSC ,Site Safety Committee
SSC ,"System, Structure or Component"
SSD ,Scheduled Shipment Date
SSE ,Safe Shutdown Earthquake
SSI  ,Soil-Structure Interaction
SSL ,Security Shift Lt.
SSOR ,"Salvage, Surplus & Obsolescence Report"
SSPS ,Solid State Protection System
SST ,Solid State Trip
ST ,Surveillance Technician
STA  ,Shift Technical Advisor
STAR ,"Stop, Think, Act and Review"
STARS ,Strategic Teaming and Resource Sharing
stby ,standby
STC ,Senior Training Council
STD ,Short Term Disability
std ,standard
STEAM ,"Safety, Teamwork, Excellence, Accountability and Mutual respect and trust"
STM ,Steam
STN ,Surveillance Non-Technical Specifications
STRS ,Surveillance Test Routing Sheet
STS ,Surveillance Technical Specifications
suct ,suction
SUM ,Status Update Module
supv ,supervisory
SUR ,Startup Rate
SUT ,Startup Transformer
SW ,Service Water
swbd ,switchboard
swgr ,switchgear
SWHX ,Seal Water Heat Exchanger
SWO ,Sub-work Order
SWP  ,Service Water Pump
SWRO ,Seawater Reverse Osmosis
SWS ,Service Water System
swyd ,switchyard
sync ,synchronize
sys ,system
"T/C, TC ",Thermocouple
T/G ,Turning Gear
T/R ,transmitter/receiver
TA ,Tagging Authority
TAB ,Training Advisory Board
TAC ,Training Advisory Committee
tach ,tachometer
TADOT…………………  ,Trip Actuating Device Operational Test
TAHL ,Temperature Alarm High Level
TAR ,Travel Authorization Request
Tauct ,Temperature (auctioneered)
"Tavg, Tavg ",Temperature (average)
T-brg ,Thrust Bearing
TBS ,Turbine Bypass System
TC; Tcold; Tcold ,Temperature (cold)
TCM ,Tool Contamination Monitor
TCS ,Turbine Control System
TCV ,Temperature Control Valve
TD ,Turbine Driven
TDAFW  ,Turbine-driven Auxiliary Feed Water
TDAFWP ,Turbine-driven Auxiliary Feed Water Pump
TDH ,Thermal Driving Head
TDH ,Total Discharge Head
TDP ,Turbine Driven Pump
TDS ,Total Dissolved Solids
tech ,technical
TEDE ,Total Effective Dose Equivalent
TEM ,Tool and Equipment Monitor
TEMA ,Tubular Exchanger Manufacturers Association
temp ,temperature
TEMP ,Thermal Expansion Monitoring Program
TG  ,Turbine Generator
TGOP ,Turning Gear Oil Pump
TGSS ,Turbine Gland Sealing System
TH; Thot; Thot ,Temperature (hot)
TIN ,Training Identification Number
TIP ,Transverse Incore Probe
TIS ,Temperature Indicator Switch
tk ,tank
TLD ,Thermoluminescent Dosimeter
TMI ,Three Mile Island
TMO ,Temporary Modification Order
TNA ,Training Needs Analysis
TO ,Technical Orientation
TOCA ,Turn On Code Assignment
TPE ,Task Performance Evaluations
TPSD ,Total Plant Setpoint Document
TR ,Technical Requirements
TR ,Topical Report
TR ,Trouble Report
TRB ,Training Review Board
"Tref, Tref; TREF ",Temperature (reference)
TRG ,Training Review Group
TRM ,Technical Requirement Manual(s)
TRN ,Training
TRS ,Test Response Spectrum
TS ,Technical Specification
TS ,Terminal Switch
TS ,Terminal Switch
TSA ,Technical Service Authorization
TSC ,Technical Support Center
TSEO ,Technical Specification Equipment Outage
TSI ,Turbine Supervisory Instrumentation
TSO…………………...,Treatment System Operator
TSO,Transmission System Operator
TSP ,Technical Support
TSR ,Technical Surveillance Requirements
TSS ,Total Suspended Solids
TT ,Transition Temperature
TUF ,Tank Ultra Filtration
turb ,turbine
UAA  ,Unescorted Access Authorization
UA  ,Unescorted Access
UAT ,Unit Aux Transformer
UBC ,Uniform Building Code
UCLF ,Unit Capacity Loss Factor
UF ,Underfrequency
UHF ,ultrahigh frequency
UHS ,Ultimate Heat Sink
UI ,Under Instruction
UL ,Underwriters’ Laboratories Inc.
UNID ,Unique Equipment Identifier
UPS ,Uninterruptible Power Supply
URAL ,Underexcited Reactive Ampere Limit
URI ,Unresolved Item
USA ,Utilities Service Alliance
USAR ,Updated Safety Analysis Report
USARCR ,Updated Safety Analysis Report Change Request
USCGNRC ,United States Coast Guard National Response Center 
USGS ,U.S. Geological Survey
USNRC ,U.S. Nuclear Regulatory Commission
USQ ,Unreviewed Safety Question
USQD ,Unresolved Safety Question Determination
UT ,Ultrasonic Testing
UV ,Undervoltage
V&V ,Verification & Validation
vac ,vacuum
VAC ,Volt (Alternating Current)
VCT ,Volume Control Tank
VDC ,Volt (Direct Current)
VETIP ,Vendor Equipment Technical Information Program
VFD ,Variable Frequency Drives
VFTP ,Ventilation Filter Testing Program
VHF ,very high frequency
VHP ,Vessel Head Penetration
vib ,vibration
VLT ,Vaulted
vlv ,valve
VOCA ,Verification of Completed Actions
VROC ,Voltage Restrained Overcurrent
VTD ,Vendor Technical Documents
VTM ,Vendor Technical Manual
VWO ,Valves Wide Open
W ,West
W ,Westinghouse
WABA ,Wet Annular Burnable Absorber
WANO ,World Alliance Nuclear Operators
WBC ,Whole Body Count
WC ,Work Control
WCAP,Westinghouse Commercial Atomic Power
WCC ,Work Control Center
WCGS ,Wolf Creek Generating Station
WCNOC ,Wolf Creek Nuclear Operating Corporation
WCQPM ,Wolf Creek Quality Program Manual
WDS ,Weld Data Sheet
WGC ,Waste Gas Compressor
WGDT ,Waste Gas Decay Tank
WCP ,Work Control Program
WHS ,Warehouse
WHUT ,Waste Holdup Tank
WIP ,Work in process
WLA ,Weak Link Analysis
WO ,Work Order
WOFRA ,Work Optimization Failure Rate Analysis
WOG ,Westinghouse Owners Group
WPC ,Work Planning Code
WPE ,Work Product Evaluation
WPS ,Weld Procedure Specification
WPT ,Work Package Task
WR ,Wear Rate
WR ,Wide Range
WR ,Work Request
WRGM ,Wide Range Gas Monitors
WSP ,Waste Stabilization Pond
wtr ,water
wtrbx ,water box
WWER ,Work Week Engineering Representative
WWM ,Work Week Manager
WWS ,Work Week Scheduler
WWT ,Waste Water Treatment
Xe ,Xenon
xfmr ,transformer
xmtr ,transmitter
XOVER ,Crossover
ZERO ,Zero Environmental Release Options
ZPA ,Zero Period Acceleration
